dataset,channel,activation,treatment,dose_label,construct,run,replicate,well,lag_sec,density_plated,n_cells,mu_lo,mu_hi,w_hi,sep,ll,n_lo_eff,n_hi_eff,mean_y,med_y,thr_frac,sigma_bio,converged,weak_low,weak_high,weak_sep,note,sigma_unstable,dose_num,pma_units,arm
dox,GFP,activated,run2,PMA,239,run2,1,run2_239_PMA_r1,600.0,,45,0.8973698794457844,1.5592349777964118,0.6865631002727616,0.6618650983506275,-35.888791664930544,14.1046383514551,30.895361648544895,1.3629232906944164,1.306189098643192,0.4888888888888889,0.30947326629309,True,False,False,False,,False,,,dox|activated|run2
dox,GFP,activated,run2,PMA,239,run2,2,run2_239_PMA_r2,600.0,,27,0.1278317842029165,1.3186738498591817,0.6050875499477667,1.190842065656265,-26.824322561518795,10.66262840131376,16.33737159868624,0.885600233943145,1.103794114127438,0.3333333333333333,0.30947326629309,True,False,False,False,,False,,,dox|activated|run2
dox,GFP,activated,run2,PMA,239,run2,3,run2_239_PMA_r3,600.0,,48,0.9579265165600764,1.8246817095059709,0.4509286770824719,0.8667551929458943,-42.16465733406211,26.355439979108997,21.644560020891003,1.3676651836185514,1.3574141005468037,0.5,0.30947326629309,True,False,False,False,,False,,,dox|activated|run2
dox,GFP,activated,run2,untreated,239,run2,1,run2_239_untreated_r1,600.0,,59,1.2036567949165022,2.2557420694817214,0.7342831461323532,1.0520852745652192,-63.80316812293369,15.677278030464516,43.32272196953548,2.0076526263117036,2.024680841501219,0.8135593220338984,0.30947326629309,True,False,False,False,,False,0.0,,dox|activated|run2
dox,GFP,activated,run2,untreated,239,run2,2,run2_239_untreated_r2,600.0,,17,,,,,,,,,,,,False,,,,too few cells,False,0.0,,dox|activated|run2
dox,GFP,activated,run2,untreated,239,run2,3,run2_239_untreated_r3,600.0,,32,1.082192604620695,2.334372667370366,0.7167584806450434,1.2521800627496709,-31.03251026918489,9.063725443694349,22.936274556305655,1.948837142834267,2.2286614887526626,0.6875,0.30947326629309,True,False,False,False,,False,0.0,,dox|activated|run2
dox,GFP,activated,run2,100,240,run2,1,run2_240_100_r1,600.0,,33,0.1085377560473531,1.993384227403875,0.4702169810228369,1.884846471356522,-42.55320953872143,17.482840294862548,15.517159705137448,1.0301110654051249,0.917148043651323,0.4242424242424242,0.30947326629309,True,False,False,False,,False,100.0,,dox|activated|run2
dox,GFP,activated,run2,100,240,run2,2,run2_240_100_r2,600.0,,34,0.4608526921598486,1.9226888645299216,0.6418790364951424,1.4618361723700732,-45.48707990985629,12.176102267915027,21.823897732084973,1.4117312387287302,1.5832310721567242,0.5588235294117647,0.30947326629309,True,False,False,False,,False,100.0,,dox|activated|run2
dox,GFP,activated,run2,100,240,run2,3,run2_240_100_r3,600.0,,38,-0.0497777999918507,2.1711398259724755,0.5504991714910608,2.220917625964326,-57.99805573250085,17.08102939235364,20.91897060764636,1.271739624452458,1.265204975307327,0.4736842105263157,0.30947326629309,True,False,False,False,,False,100.0,,dox|activated|run2
dox,GFP,activated,run2,20,240,run2,1,run2_240_20_r1,600.0,,29,0.1997270038511107,1.9752785944314248,0.4300494958536986,1.775551590580314,-38.735507311957186,16.528565525026288,12.471434474973714,1.023890447652749,0.743860496754895,0.4137931034482758,0.30947326629309,True,False,False,False,,False,20.0,,dox|activated|run2
dox,GFP,activated,run2,20,240,run2,2,run2_240_20_r2,600.0,,44,0.1379102211501291,2.0008365547669404,0.6197194448800106,1.8629263336168111,-59.9798886640467,16.73234380877492,27.26765619122508,1.3851737737292895,1.5748194270671578,0.5454545454545454,0.30947326629309,True,False,False,False,,False,20.0,,dox|activated|run2
dox,GFP,activated,run2,20,240,run2,3,run2_240_20_r3,600.0,,21,,,,,,,,,,,,False,,,,too few cells,False,20.0,,dox|activated|run2
dox,GFP,activated,run2,500,240,run2,1,run2_240_500_r1,600.0,,51,-0.042213464902789,1.8336002050859572,0.678836253494164,1.8758136699887464,-74.39442377330961,16.379349539177184,34.620650460822816,1.3170246908409642,1.3144835366419934,0.4901960784313725,0.30947326629309,True,False,False,False,,False,500.0,,dox|activated|run2
dox,GFP,activated,run2,500,240,run2,2,run2_240_500_r2,600.0,,36,0.4264639699713803,2.199012482867671,0.5194539635247309,1.7725485128962906,-43.01441609046342,17.29965691337955,18.70034308662045,1.3808065252299238,1.524900448466068,0.5277777777777778,0.30947326629309,True,False,False,False,,False,500.0,,dox|activated|run2
dox,GFP,activated,run2,500,240,run2,3,run2_240_500_r3,600.0,,26,0.2731740554840798,2.063284535643493,0.6573742535925657,1.7901104801594132,-37.81578630874965,8.908267186025771,17.09173281397423,1.5333092367725767,1.8227116867538775,0.5769230769230769,0.30947326629309,True,False,False,False,,False,500.0,,dox|activated|run2
dox,GFP,activated,run2,untreated,240,run2,1,run2_240_untreated_r1,600.0,,72,0.295409359749787,2.0178351994679233,0.6507588491248586,1.7224258397181362,-90.10663225278986,25.14535948468767,46.854640515312326,1.5044708887721836,1.8045439802933327,0.5972222222222222,0.30947326629309,True,False,False,False,,False,0.0,,dox|activated|run2
dox,GFP,activated,run2,untreated,240,run2,2,run2_240_untreated_r2,600.0,,30,0.3540604886615852,2.4973638794098747,0.4837756911045534,2.1433033907482892,-34.66667951168054,15.48672974581458,14.51327025418542,1.4116792739922563,1.353030100564883,0.5,0.30947326629309,True,False,False,False,,False,0.0,,dox|activated|run2
dox,GFP,activated,run2,untreated,240,run2,3,run2_240_untreated_r3,600.0,,26,0.7475294751870561,2.054286919113046,0.3863955462883878,1.30675744392599,-29.961198848285825,15.953720010164783,10.046279989835217,1.323255438179706,1.1578895001728773,0.3461538461538461,0.30947326629309,True,False,False,False,,False,0.0,,dox|activated|run2
